starting calibration on boiler1 (192.168.25.221)
calculating offset start...
offset start  150 152 152 152 149 150 149 149 149 152 average 150
waiting for heat up 100%...
starting measurement with maximum power 2100 watt 1%=21 watt
10000  2019
 9990  2012
 9980  2006
 9970  2006
 9960  1999
 9950  1999
 9940  1999
 9930  1995
 9920  1995
 9910  1984
 9900  1982
 9890  1982
 9880  1980
 9870  1980
 9860  1980
 9850  1977
 9840  1977
 9830  1971
 9820  1969
 9810  1969
 9800  1965
 9790  1965
 9780  1965
 9770  1965
 9760  1965
 9750  1965
 9740  1962
 9730  1962
 9720  1960
 9710  1958
 9700  1958
 9690  1958
 9680  1958
 9670  1963
 9660  1964
 9650  1964
 9640  1966
 9630  1969
 9620  1969
 9610  1968
 9600  1968
 9590  1968
 9580  1970
 9570  1970
 9560  1967
 9550  1967
 9540  1961
 9530  1962
 9520  1962
 9510  1962
 9500  1965
 9490  1965
 9480  1968
 9470  1968
 9460  1966
 9450  1963
 9440  1963
 9430  1961
 9420  1961
 9410  1961
 9400  1959
 9390  1959
 9380  1968
 9370  1964
 9360  1964
 9350  1963
 9340  1963
 9330  1963
 9320  1964
 9310  1964
 9300  1959
 9290  1959
 9280  1959
 9270  1963
 9260  1964
 9250  1964
 9240  1964
 9230  1964
 9220  1964
 9210  1964
 9200  1964
 9190  1964
 9180  1963
 9170  1963
 9160  1963
 9150  1963
 9140  1964
 9130  1966
 9120  1966
 9110  1966
 9100  1966
 9090  1965
 9080  1966
 9070  1966
 9060  1966
 9050  1968
 9040  1968
 9030  1970
 9020  1967
 9010  1967
 9000  1963
 8990  1963
 8980  1963
 8970  1963
 8960  1963
 8950  1965
 8940  1963
 8930  1963
 8920  1964
 8910  1964
 8900  1962
 8890  1962
 8880  1962
 8870  1965
 8860  1964
 8850  1964
 8840  1964
 8830  1964
 8820  1967
 8810  1967
 8800  1967
 8790  1967
 8780  1963
 8770  1963
 8760  1961
 8750  1963
 8740  1963
 8730  1961
 8720  1961
 8710  1961
 8700  1965
 8690  1965
 8680  1968
 8670  1971
 8660  1971
 8650  1969
 8640  1969
 8630  1969
 8620  1960
 8610  1960
 8600  1963
 8590  1962
 8580  1962
 8570  1959
 8560  1961
 8550  1961
 8540  1961
 8530  1961
 8520  1959
 8510  1955
 8500  1955
 8490  1953
 8480  1951
 8470  1951
 8460  1951
 8450  1951
 8440  1951
 8430  1949
 8420  1949
 8410  1949
 8400  1947
 8390  1947
 8380  1946
 8370  1946
 8360  1946
 8350  1941
 8340  1941
 8330  1946
 8320  1946
 8310  1945
 8300  1944
 8290  1944
 8280  1944
 8270  1940
 8260  1940
 8250  1938
 8240  1938
 8230  1938
 8220  1937
 8210  1937
 8200  1933
 8190  1933
 8180  1933
 8170  1926
 8160  1926
 8150  1928
 8140  1931
 8130  1931
 8120  1930
 8110  1930
 8100  1930
 8090  1930
 8080  1930
 8070  1931
 8060  1929
 8050  1929
 8040  1927
 8030  1927
 8020  1929
 8010  1929
 8000  1929
 7990  1923
 7980  1923
 7970  1923
 7960  1920
 7950  1920
 7940  1917
 7930  1918
 7920  1917
 7910  1918
 7900  1918
 7890  1917
 7880  1911
 7870  1912
 7860  1912
 7850  1912
 7840  1903
 7830  1915
 7820  1913
 7810  1911
 7800  1913
 7790  1913
 7780  1910
 7770  1912
 7760  1915
 7750  1913
 7740  1913
 7730  1911
 7720  1910
 7710  1912
 7700  1912
 7690  1913
 7680  1913
 7670  1911
 7660  1910
 7650  1905
 7640  1906
